Product_ID,Product_Name,Category,Brand,Price,Rating,Purpose,Feature1,Feature2,Feature3
P086,Dell Mouse 6,Mouse,Dell,3482,4.0,Office,RGB,16000 DPI,Wireless
P087,HP Mouse 7,Mouse,HP,4269,4.6,Gaming,RGB,16000 DPI,Wireless
P088,HP Mouse 8,Mouse,HP,3432,4.5,Work,16000 DPI,RGB,Wireless
P089,Logitech Mouse 9,Mouse,Logitech,1461,4.0,Office,RGB,Wireless,16000 DPI
P090,Dell Mouse 10,Mouse,Dell,522,4.4,Daily Use,RGB,16000 DPI,Wireless
P091,Canon Camera 1,Camera,Canon,59803,4.4,Coding,24MP Sensor,Mirrorless,4K Video
P092,Sony Camera 2,Camera,Sony,145393,4.0,Office,4K Video,Mirrorless,24MP Sensor
P093,Sony Camera 3,Camera,Sony,57760,4.9,Professional,Mirrorless,4K Video,24MP Sensor
P094,Sony Camera 4,Camera,Sony,108964,4.2,Coding,4K Video,Mirrorless,24MP Sensor
P095,Sony Camera 5,Camera,Sony,67535,4.6,Coding,24MP Sensor,Mirrorless,4K Video
P096,Sony Camera 6,Camera,Sony,71812,4.9,Office,4K Video,24MP Sensor,Mirrorless
P097,Canon Camera 7,Camera,Canon,127261,4.8,Student,4K Video,24MP Sensor,Mirrorless
P098,Nikon Camera 8,Camera,Nikon,91077,4.1,Streaming,4K Video,Mirrorless,24MP Sensor
P099,Nikon Camera 9,Camera,Nikon,48207,4.4,Streaming,24MP Sensor,Mirrorless,4K Video
P100,Sony Camera 10,Camera,Sony,50418,4.8,Gaming,Mirrorless,24MP Sensor,4K Video
P101,WD SSD 1,SSD,WD,3359,4.1,Daily Use,1TB Storage,NVMe,High Speed
P102,SanDisk SSD 2,SSD,SanDisk,5738,3.9,Music,NVMe,1TB Storage,High Speed
P103,SanDisk SSD 3,SSD,SanDisk,14164,4.2,Coding,NVMe,High Speed,1TB Storage
P104,WD SSD 4,SSD,WD,3825,4.5,Gaming,1TB Storage,NVMe,High Speed
P105,SanDisk SSD 5,SSD,SanDisk,11463,4.6,Office,High Speed,NVMe,1TB Storage
P106,WD SSD 6,SSD,WD,12844,4.4,Streaming,NVMe,1TB Storage,High Speed
P107,WD SSD 7,SSD,WD,13076,4.1,Office,1TB Storage,High Speed,NVMe
P108,Crucial SSD 8,SSD,Crucial,9280,4.1,Office,NVMe,1TB Storage,High Speed
P109,SanDisk SSD 9,SSD,SanDisk,6376,4.6,Student,NVMe,High Speed,1TB Storage
P110,SanDisk SSD 10,SSD,SanDisk,2075,4.0,Gaming,High Speed,1TB Storage,NVMe
P111,Epson Printer 1,Printer,Epson,21050,4.4,Professional,Color Print,Wireless Printing,Duplex
P112,HP Printer 2,Printer,HP,24828,4.4,Student,Color Print,Wireless Printing,Duplex
P113,Canon Printer 3,Printer,Canon,22160,4.4,Work,Color Print,Wireless Printing,Duplex
P114,Epson Printer 4,Printer,Epson,27386,4.4,Photography,Color Print,Duplex,Wireless Printing
P115,Canon Printer 5,Printer,Canon,17613,4.3,Music,Duplex,Color Print,Wireless Printing
P116,Epson Printer 6,Printer,Epson,6682,4.1,Student,Wireless Printing,Duplex,Color Print
P117,Canon Printer 7,Printer,Canon,24827,3.9,Photography,Wireless Printing,Color Print,Duplex
P118,HP Printer 8,Printer,HP,26491,4.5,Music,Duplex,Color Print,Wireless Printing
P119,Epson Printer 9,Printer,Epson,14533,4.2,Office,Duplex,Color Print,Wireless Printing
P120,Canon Printer 10,Printer,Canon,6082,3.9,Photography,Wireless Printing,Color Print,Duplex
P121,Boat Speaker 1,Speaker,Boat,10418,4.5,Student,Bluetooth,Deep Bass,Portable
P122,Sony Speaker 2,Speaker,Sony,15547,4.2,Student,Portable,Bluetooth,Deep Bass
P123,Sony Speaker 3,Speaker,Sony,19361,4.5,Office,Deep Bass,Bluetooth,Portable
P124,JBL Speaker 4,Speaker,JBL,11502,3.9,Music,Deep Bass,Bluetooth,Portable
P125,Boat Speaker 5,Speaker,Boat,18601,4.2,Photography,Deep Bass,Bluetooth,Portable
P126,Sony Speaker 6,Speaker,Sony,21570,4.0,Photography,Deep Bass,Bluetooth,Portable
P127,JBL Speaker 7,Speaker,JBL,18577,4.8,Work,Deep Bass,Bluetooth,Portable
P128,Sony Speaker 8,Speaker,Sony,14448,4.7,Student,Deep Bass,Bluetooth,Portable
P129,Boat Speaker 9,Speaker,Boat,2019,3.8,Work,Deep Bass,Bluetooth,Portable
P130,Sony Speaker 10,Speaker,Sony,8298,4.0,Photography,Portable,Bluetooth,Deep Bass
P131,Mi Power Bank 1,Power Bank,Mi,1275,4.3,Student,Fast Charging,20000mAh,USB-C
P132,Mi Power Bank 2,Power Bank,Mi,2514,4.8,Work,20000mAh,USB-C,Fast Charging
P133,Mi Power Bank 3,Power Bank,Mi,2605,4.7,Gaming,USB-C,Fast Charging,20000mAh
P134,Realme Power Bank 4,Power Bank,Realme,3087,4.8,Professional,USB-C,20000mAh,Fast Charging
P135,Mi Power Bank 5,Power Bank,Mi,2427,4.6,Work,20000mAh,USB-C,Fast Charging
P136,Mi Power Bank 6,Power Bank,Mi,4435,3.8,Photography,20000mAh,USB-C,Fast Charging
P137,Mi Power Bank 7,Power Bank,Mi,4689,4.8,Student,USB-C,Fast Charging,20000mAh
P138,Mi Power Bank 8,Power Bank,Mi,4168,4.7,Gaming,Fast Charging,20000mAh,USB-C
P139,Realme Power Bank 9,Power Bank,Realme,568,4.0,Music,20000mAh,Fast Charging,USB-C
P140,Realme Power Bank 10,Power Bank,Realme,2131,4.1,Streaming,Fast Charging,20000mAh,USB-C
P141,Netgear Router 1,Router,Netgear,8671,4.3,Music,Dual Band,High Speed,WiFi 6
P142,TP-Link Router 2,Router,TP-Link,3120,4.6,Office,High Speed,Dual Band,WiFi 6
P143,Netgear Router 3,Router,Netgear,4150,4.4,Student,Dual Band,High Speed,WiFi 6
P144,Netgear Router 4,Router,Netgear,2908,4.1,Coding,WiFi 6,High Speed,Dual Band
P145,TP-Link Router 5,Router,TP-Link,4487,4.1,Photography,Dual Band,High Speed,WiFi 6
P146,TP-Link Router 6,Router,TP-Link,2361,4.8,Work,Dual Band,WiFi 6,High Speed
P147,Netgear Router 7,Router,Netgear,9025,4.8,Student,High Speed,Dual Band,WiFi 6
P148,D-Link Router 8,Router,D-Link,4460,4.5,Music,Dual Band,WiFi 6,High Speed
P149,TP-Link Router 9,Router,TP-Link,8381,4.2,Student,High Speed,WiFi 6,Dual Band
P150,TP-Link Router 10,Router,TP-Link,3085,4.8,Office,WiFi 6,High Speed,Dual Band
